"url","price","course_by","title","skills","ratings","reviews","level, type and duration"
"https://www.coursera.org/learn/the-science-of-well-being","Free","Yale University","The Science of Well-Being","Personal Development, Business Psychology, Entrepreneurship, Leadership and Management, Professional Development, Adaptability, Resilience, Planning","4.9","(35.5k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/indigenous-canada","Free","University of Alberta","Indigenous Canada","Leadership and Management, Business Psychology, Culture, Communication, Entrepreneurship, Marketing, Algorithms, Creativity, Finance, Research and Design, Storytelling, Theoretical Computer Science","4.8","(20.8k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/financial-markets-global","Free","Yale University","Financial Markets","Finance, Banking, Investment Management, Risk Management, Securities Trading, Financial Management, Regulations and Compliance, Securities Sales, Underwriting, Business Psychology, Behavioral Economics, Accounting, Adaptability, Budget Management, Innovation, Media Strategy & Planning, Resilience, Taxes, Business Analysis, Business Process Management, Corporate Accouting, Data Analysis, Entrepreneurship, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Probability & Statistics, Statistical Tests, Strategy and Operations","4.8","(24.4k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/the-science-of-well-being-for-teens","Free","Yale University","The Science of Well-Being for Teens","","4.8","(29 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/introduction-psychology","Free","Yale University","Introduction to Psychology","Business Psychology, Emotional Intelligence, Writing","4.9","(25.5k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/sciwrite","Free","Stanford University","Writing in the Sciences","Communication, Writing, Social Media","4.9","(7.5k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/stanford-statistics","Free","Stanford University","Introduction to Statistics","Data Science, General Statistics, Probability & Statistics, Statistical Tests, Estimation, Basic Descriptive Statistics, Correlation And Dependence, Probability Distribution, Regression, Bayesian Statistics, Data Analysis, Data Visualization, Econometrics, Experiment, Machine Learning, Markov Model, Plot (Graphics), Statistical Analysis, Statistical Visualization","4.6","(2k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/food-and-health","Free","Stanford University","Stanford Introduction to Food and Health","","4.7","(28.4k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/dyslexia","Free","Yale University","Overcoming Dyslexia","Web Design, Web Development, Algebra, Mathematics","4.7","(104 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/private-equity","Free","Università Bocconi","Private Equity and Venture Capital","Banking, Finance, Mergers & Acquisitions, Financial Management, Financial Analysis, Investment Management, Regulations and Compliance, Accounting, Decision Making, Entrepreneurship, Leadership and Management","4.8","(7.4k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/remote-team-management","Free","GitLab","How to Manage a Remote Team","Business Psychology, Entrepreneurship, Leadership and Management, Human Resources, People Development, Collaboration, Communication, Culture, Adaptability, Organizational Development, Performance Management, Project Management, Strategy and Operations, Business Analysis, Business Transformation, Marketing, People Management, Recruitment, Sales, Strategy","4.8","(810 reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/negotiation-skills","Free","University of Michigan","Successful Negotiation: Essential Strategies and Skills","Communication, Marketing, Negotiation, Sales","4.8","(17.9k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/connected-leadership","Free","Yale University","Connected Leadership","Entrepreneurship, Strategy and Operations, Leadership and Management, Marketing, Sales, Strategy, Change Management, Human Resources, Leadership Development, Business Analysis, Critical Thinking, Project Management, Research and Design, Accounting, Audit, Business Process Management, Computer Programming, Computer Programming Tools, FinTech, Finance, Operating Systems, Operations Management, People Management, Systems Design, Theoretical Computer Science, Emotional Intelligence","4.6","(24 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/agile-atlassian-jira","Free","Atlassian","Agile with Atlassian Jira","Project Management, Strategy and Operations, Jira (Software), Scrum (Software Development), Agile Software Development, Leadership and Management, Operations Management, Software Engineering, Supply Chain and Logistics","4.7","(7.7k reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/organizational-analysis","Free","Stanford University","Organizational Analysis","Business Psychology, Entrepreneurship, Organizational Development, Leadership and Management, Culture, Business Analysis, Business Communication, Business Transformation, Communication, Business Process Management, Decision Making, General Statistics, Human Resources, Marketing, Mathematics, Network Analysis, Probability & Statistics, Sales, Social Media, Strategy, Strategy and Operations","4.6","(1.3k reviews)","Beginner · Course · 1-3 Months"
